pm_id,store,unit_serial,batch,photos_before,photos_after,photo_change,note_added,corrected_pdf
1,Food Maxx #453,11008876,June (invoice #170015),Food_Maxx__453_11008876_20260611_photo_1_1781196003238.jpg|Food_Maxx__453_11008876_20260611_photo_2_1781196003238.jpg,Food_Maxx__453_11008872_20260720_photo_1_1784579526863.jpg|Food_Maxx__453_11008876_20260611_photo_1_1781196003238.jpg|Food_Maxx__453_11008876_20260611_photo_2_1781196003238.jpg,True,True,Food_Maxx__453_11008876_20260611_1781196003238_CORRECTED_20260826.pdf
2,Safeway #3281,304995,June (invoice #170015),Safeway__3281_304995_20260611_photo_1_1781200300120.jpg|Safeway__3281_304995_20260611_photo_2_1781200300120.jpg|Safeway__3281_304995_20260611_photo_3_1781200300120.jpg,Safeway__3281_304995_20260611_photo_1_1781200300120.jpg|Safeway__3281_304995_20260611_photo_2_1781200300120.jpg|Safeway__3281_304995_20260611_photo_3_1781200300120.jpg,False,True,
3,Lucky #700,11037160,June (invoice #170015),,,False,True,
4,Lucky #700,11037167,June (invoice #170015),Lucky__700_11037167_20260612_photo_1_1781280801596.jpg|Lucky__700_11037167_20260612_photo_2_1781280801596.jpg|Lucky__700_11037167_20260612_photo_3_1781280801596.jpg|Lucky__700_11037167_20260612_photo_4_1781280801596.jpg,Safeway__951_304917_20260612_photo_4_1781296060454.jpg|Lucky__700_11037167_20260612_photo_1_1781280801596.jpg|Lucky__700_11037167_20260612_photo_2_1781280801596.jpg|Lucky__700_11037167_20260612_photo_3_1781280801596.jpg|Lucky__700_11037167_20260612_photo_4_1781280801596.jpg,True,True,Lucky__700_11037167_20260612_1781280801596_CORRECTED_20260826.pdf
5,Lucky #700,11037167,June (invoice #170015),,,False,True,
6,Petco #372,240761,June (invoice #170015),Petco__372_240761_20260612_photo_1_1781283258606.jpg|Petco__372_240761_20260612_photo_2_1781283258606.jpg|Petco__372_240761_20260612_photo_3_1781283258606.jpg|Petco__372_240761_20260612_photo_4_1781283258606.jpg,Petco__372_240761_20260612_photo_1_1781283258606.jpg|Petco__372_240761_20260612_photo_2_1781283258606.jpg|Petco__372_240761_20260612_photo_3_1781283258606.jpg|Petco__372_240761_20260612_photo_4_1781283258606.jpg,False,True,
7,Nob Hill #632,10131448,June (invoice #170015),Nob_Hill__632_10131448_20260612_photo_1_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_2_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_3_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_4_1781284638658.jpg,Nob_Hill__632_10131448_20260612_photo_1_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_2_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_3_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_4_1781284638658.jpg,False,True,
8,Target #2829,10609651,June (invoice #170015),,,False,True,
9,Petco #372,4770049,June (invoice #170015),Petco__372_4770049_20260612_photo_1_1781287314199.jpg|Petco__372_4770049_20260612_photo_2_1781287314199.jpg|Petco__372_4770049_20260612_photo_3_1781287314199.jpg,Petco__372_4770049_20260612_photo_1_1781287314199.jpg|Petco__372_4770049_20260612_photo_3_1781287314199.jpg,True,True,
10,Safeway #951,304912,June (invoice #170015),Safeway__951_304912_20260612_photo_1_1781288363210.jpg|Safeway__951_304912_20260612_photo_2_1781288363210.jpg|Safeway__951_304912_20260612_photo_3_1781288363210.jpg,Safeway__951_304912_20260612_photo_1_1781288363210.jpg|Safeway__951_304912_20260612_photo_2_1781288363210.jpg|Safeway__951_304912_20260612_photo_3_1781288363210.jpg,False,True,
