pm_id,store,unit_serial,batch,photos_removed,photos_remaining,removed_showing,removed_files,photos_after,corrected_pdf
6,Petco #372,240761,June,1,3,10609651,Petco__372_240761_20260612_photo_1_1781283258606.jpg,Petco__372_240761_20260612_photo_2_1781283258606.jpg|Petco__372_240761_20260612_photo_3_1781283258606.jpg|Petco__372_240761_20260612_photo_4_1781283258606.jpg,Petco__372_240761_20260612_1781283258606_CORRECTED_20260828.pdf
7,Nob Hill #632,10131448,June,1,3,11037160,Nob_Hill__632_10131448_20260612_photo_2_1781284638658.jpg,Nob_Hill__632_10131448_20260612_photo_1_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_3_1781284638658.jpg|Nob_Hill__632_10131448_20260612_photo_4_1781284638658.jpg,Nob_Hill__632_10131448_20260612_1781284638658_CORRECTED_20260828.pdf
10,Safeway #951,304912,June,1,2,304978,Safeway__951_304912_20260612_photo_2_1781288363210.jpg,Safeway__951_304912_20260612_photo_1_1781288363210.jpg|Safeway__951_304912_20260612_photo_3_1781288363210.jpg,Safeway__951_304912_20260612_1781288363210_CORRECTED_20260828.pdf
15,Safeway #951,304912,June,1,3,11037160,Safeway__951_304912_20260612_photo_4_1781296000162.jpg,Safeway__951_304912_20260612_photo_1_1781296000162.jpg|Safeway__951_304912_20260612_photo_2_1781296000162.jpg|Safeway__951_304912_20260612_photo_3_1781296000162.jpg,Safeway__951_304912_20260612_1781296000162_CORRECTED_20260828.pdf
17,Pak N Save #3125,304875,June,1,3,11037160,Pak_N_Save__3125_304875_20260612_photo_3_1781297861016.jpg,Pak_N_Save__3125_304875_20260612_photo_1_1781297861016.jpg|Pak_N_Save__3125_304875_20260612_photo_2_1781297861016.jpg|Pak_N_Save__3125_304875_20260612_photo_4_1781297861016.jpg,Pak_N_Save__3125_304875_20260612_1781297861016_CORRECTED_20260828.pdf
19,Lucky #700,11037167,June,1,3,9632938,Lucky__700_11037167_20260612_photo_2_1781301578813.jpg,Walmart_US__3023_302476_20260613_photo_3_1781392127540.jpg|Lucky__700_11037167_20260612_photo_1_1781301578813.jpg|Lucky__700_11037167_20260612_photo_3_1781301578813.jpg,Lucky__700_11037167_20260612_1781301578813_CORRECTED_20260828.pdf
32,Lucky #700,11037167,June,1,3,10874884,Lucky__700_11037167_20260613_photo_1_1781318797699.jpg,Petco__267_7814967_20260614_photo_2_1781407852198.jpg|Lucky__700_11037167_20260613_photo_2_1781318797699.jpg|Lucky__700_11037167_20260613_photo_3_1781318797699.jpg,Lucky__700_11037167_20260613_1781318797699_CORRECTED_20260828.pdf
57,Lucky #766,10882123,June,1,2,11037160,Lucky__766_10882123_20260613_photo_1_1781391992382.jpg,Lucky__766_10882123_20260613_photo_2_1781391992382.jpg|Lucky__766_10882123_20260613_photo_3_1781391992382.jpg,Lucky__766_10882123_20260613_1781391992382_CORRECTED_20260828.pdf
105,Safeway Northern California #2941,311460,June,1,2,311459,Safeway_Northern_California__2_311460_20260615_photo_2_1781555636807.jpg,Safeway_Northern_California__2_311459_20260615_photo_1_1781554562839.jpg|Safeway_Northern_California__2_311460_20260615_photo_1_1781555636807.jpg,Safeway_Northern_California__2_311460_20260615_1781555636807_CORRECTED_20260828.pdf
114,PetSmart US #61,242466,June,1,3,10564805,PetSmart_US__61_242466_20260615_photo_1_1781565115967.jpg,PetSmart_US__61_269040_20260615_photo_3_1781565050469.jpg|PetSmart_US__61_242466_20260615_photo_2_1781565115967.jpg|PetSmart_US__61_242466_20260615_photo_3_1781565115967.jpg,PetSmart_US__61_242466_20260615_1781565115967_CORRECTED_20260828.pdf
115,PetSmart US #61,208767,June,1,3,10564805,PetSmart_US__61_208767_20260615_photo_1_1781565273460.jpg,PetSmart_US__61_269040_20260615_photo_2_1781565050469.jpg|PetSmart_US__61_208767_20260615_photo_2_1781565273460.jpg|PetSmart_US__61_208767_20260615_photo_3_1781565273460.jpg,PetSmart_US__61_208767_20260615_1781565273460_CORRECTED_20260828.pdf
117,Costco #643,10772056,June,1,2,10564805,Costco__643_10772056_20260615_photo_1_1781567227644.jpg,Costco__643_10772056_20260615_photo_2_1781567227644.jpg|Costco__643_10772056_20260615_photo_3_1781567227644.jpg,Costco__643_10772056_20260615_1781567227644_CORRECTED_20260828.pdf
118,Costco #663,10711714,June,1,2,10564805,Costco__663_10711714_20260615_photo_1_1781567350841.jpg,Costco__663_10711714_20260615_photo_2_1781567350841.jpg|Costco__663_10711714_20260615_photo_3_1781567350841.jpg,Costco__663_10711714_20260615_1781567350841_CORRECTED_20260828.pdf
119,Food Maxx #481,11008874,June,1,2,10998988,Food_Maxx__481_11008874_20260615_photo_2_1781567936781.jpg,Food_Maxx__481_11008874_20260615_photo_1_1781567936781.jpg|Food_Maxx__481_11008874_20260615_photo_3_1781567936781.jpg,Food_Maxx__481_11008874_20260615_1781567936781_CORRECTED_20260828.pdf
121,Safeway #1192,276958,June,1,2,11037167,Safeway__1192_276958_20260616_photo_1_1781568319801.jpg,Safeway__1192_276958_20260616_photo_2_1781568319801.jpg|Safeway__1192_276958_20260616_photo_3_1781568319801.jpg,Safeway__1192_276958_20260616_1781568319801_CORRECTED_20260828.pdf
125,Lucky #705,10091428,June,1,2,10564805,Lucky__705_10091428_20260616_photo_1_1781571805138.jpg,Lucky__705_11126734_20260616_photo_2_1781571342146.jpg|Lucky__705_10091428_20260616_photo_2_1781571805138.jpg,Lucky__705_10091428_20260616_1781571805138_CORRECTED_20260828.pdf
126,Food 4 Less #764,11162184,June,1,2,10157996,Food_4_Less__764_11162184_20260616_photo_3_1781572288243.jpg,Food_4_Less__764_11162184_20260616_photo_1_1781572288243.jpg|Food_4_Less__764_11162184_20260616_photo_2_1781572288243.jpg,Food_4_Less__764_11162184_20260616_1781572288243_CORRECTED_20260828.pdf
148,Food Maxx #480,11027525,June,1,2,11032465,Food_Maxx__480_11027525_20260616_photo_2_1781635982528.jpg,Food_Maxx__480_11027525_20260616_photo_1_1781635982528.jpg|Food_Maxx__480_11027525_20260616_photo_3_1781635982528.jpg,Food_Maxx__480_11027525_20260616_1781635982528_CORRECTED_20260828.pdf
150,Somersville Pet Supply #604283,7624000,June,1,2,10157996,Somersville_Pet_Supply__604283_7624000_20260616_photo_3_1781636281952.jpg,Somersville_Pet_Supply__604283_7624000_20260616_photo_1_1781636281952.jpg|Somersville_Pet_Supply__604283_7624000_20260616_photo_2_1781636281952.jpg,Somersville_Pet_Supply__604283_7624000_20260616_1781636281952_CORRECTED_20260828.pdf
158,PetSmart US #56,278167,June,1,5,10157996,PetSmart_US__56_278167_20260616_photo_1_1781641556790.jpg,PetSmart_US__56_278167_20260616_photo_2_1781641556790.jpg|PetSmart_US__56_278167_20260616_photo_3_1781641556790.jpg|PetSmart_US__56_278167_20260616_photo_4_1781641556790.jpg|PetSmart_US__56_278167_20260616_photo_5_1781641556790.jpg|PetSmart_US__56_278167_20260616_photo_6_1781641556790.jpg,PetSmart_US__56_278167_20260616_1781641556790_CORRECTED_20260828.pdf
165,Safeway Northern California #1932,309094,June,2,1,304984|304933,Safeway_Northern_California__1_309094_20260617_photo_1_1781715834367.jpg|Safeway_Northern_California__1_309094_20260617_photo_2_1781715834367.jpg,Safeway_Northern_California__1_309094_20260617_photo_3_1781715834367.jpg,Safeway_Northern_California__1_309094_20260617_1781715834367_CORRECTED_20260828.pdf
177,Safeway Northern California #1953,304933,June,1,2,304984,Safeway_Northern_California__1_304933_20260617_photo_1_1781724043895.jpg,Safeway_Northern_California__1_304933_20260617_photo_2_1781724043895.jpg|Safeway_Northern_California__1_304933_20260617_photo_3_1781724043895.jpg,Safeway_Northern_California__1_304933_20260617_1781724043895_CORRECTED_20260828.pdf
180,Safeway Northern California #969,305983,June,1,2,305415,Safeway_Northern_California__9_305983_20260617_photo_2_1781726720430.jpg,Safeway_Northern_California__1_309097_20260731_photo_1_1785458157526.jpg|Safeway_Northern_California__9_305983_20260617_photo_1_1781726720430.jpg,Safeway_Northern_California__9_305983_20260617_1781726720430_CORRECTED_20260828.pdf
182,Petco #1337,312351,June,1,3,242462,Petco__1337_312351_20260617_photo_3_1781727294163.jpg,Petco__1337_312351_20260617_photo_1_1781727294163.jpg|Petco__1337_312351_20260617_photo_4_1781727294163.jpg|Petco__1337_312351_20260617_photo_5_1781727294163.jpg,Petco__1337_312351_20260617_1781727294163_CORRECTED_20260828.pdf
189,Food Maxx #488,10523828,June,1,2,10564805,Food_Maxx__488_10523828_20260625_photo_1_1782411890442.jpg,Food_Maxx__488_10523828_20260625_photo_2_1782411890442.jpg|Food_Maxx__488_10523828_20260625_photo_3_1782411890442.jpg,Food_Maxx__488_10523828_20260625_1782411890442_CORRECTED_20260828.pdf
