serial,n_reports,stores,own_serials,dist_to_own,nearest_listed,dist_nearest,verdict
M158123,9,Carters Pet Mart #56789|Petco #1338|Raley's #339|Safeway Northern California #2856|Save Mart #71|Target #1417|Target #2088|Walmart US #2161,10114978|10372249|10540856|10902793|294043|302431|5232171|9637980|9879100,6,M158115,2,CANDIDATE EXTRA UNIT
M153303,6,Petco #1338|Petco #307|Safeway Northern California #1574|Safeway Northern California #1661|Save Mart #78|Walmart US #1815,10874913|295403|305009|313166|341506031614|9697100,4,M155783,3,CANDIDATE EXTRA UNIT
10162233,1,Walmart US #5192,9627102,7,11162237,2,CANDIDATE EXTRA UNIT
10213740,1,Walmart US #1972,262650,6,10715340,3,CANDIDATE EXTRA UNIT
10540885,1,Walmart US #3138,303921,7,10540856,2,CANDIDATE EXTRA UNIT
10546327,1,Food Maxx #499,11022906,7,10546296,3,CANDIDATE EXTRA UNIT
10555907,1,Walmart US #5435,7033449,7,10567901,3,CANDIDATE EXTRA UNIT
10629523,1,Walmart US #2001,9729228,5,10609622,3,CANDIDATE EXTRA UNIT
10878244,1,Cost Less Foods #13952,10588791,5,10878253,2,CANDIDATE EXTRA UNIT
11351592,1,Walmart US #1624,9267058,7,11150523,4,CANDIDATE EXTRA UNIT
219069,1,Petco #1311,228178,5,227269,3,CANDIDATE EXTRA UNIT
244374,1,Petco #271,313074,4,246364,2,CANDIDATE EXTRA UNIT
276973,1,Safeway Northern California #1211,304440,6,276954,2,CANDIDATE EXTRA UNIT
283403,1,PetSmart US #59,4815328,6,295403,2,CANDIDATE EXTRA UNIT
313314,1,Petco #1327,312691,4,313084,2,CANDIDATE EXTRA UNIT
341505301549PBSG,1,Gene's Fine Foods #16047,341505301549,99,32158100000985,11,SAME UNIT (plate read with extra characters)
7329088,1,Pet Club #M70,4815221,7,223088,3,CANDIDATE EXTRA UNIT
8220161006162,1,Lunardis #9,411409150336,10,80090400000116,9,CANDIDATE EXTRA UNIT
M2502569,1,Costco #470,10693773,8,227269,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2502890,1,Costco #1674,10779205,7,290980,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2502943,1,Costco #146,10702123,5,M157299,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2502950,1,Costco #471,10702117,6,250475,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2503082,1,Costco #661,10702119,7,243062,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2503090,1,Costco #464,317018,7,305000,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
M2503097,1,Costco #148,313204,7,309097,4,DIFFERENT PLATE ON THE SAME UNIT (likely model/manufacturer plate)
10523825,1,Food Maxx #414,10521385,2,105238251,1,OCR misread of listed serial 105238251
10571808,1,Walmart US #2985,M098901,6,10571802,1,OCR misread of listed serial 10571802
11101264,1,Lucky's #212,10121617,5,11101263,1,OCR misread of listed serial 11101263
11162,1,Foods Co #365,9716900,5,11162237,3,JUNK / unreadable
11200214,1,Walmart US #5632,M125927,5,11200211,1,OCR misread of listed serial 11200211
14593836,1,Concord Feed #116254,4593836,1,4593836,1,OCR misread of this unit's own serial
197834,1,Petco #1350,244067,6,197934,1,OCR misread of listed serial 197934
208789,1,PetSmart US #50,281183,4,208769,1,OCR misread of listed serial 208769
226011,1,Petco #1311,228178,4,226511,1,OCR misread of listed serial 226511
237270,1,Petco #348,9459537,7,227270,1,OCR misread of listed serial 227270
240067,1,Petco #1350,197934,6,244067,1,OCR misread of listed serial 244067
305094,1,Safeway Northern California #2900,305395,2,305004,1,OCR misread of listed serial 305004
307824,1,Petco #267,228191,6,307524,1,OCR misread of listed serial 307524
933080,1,Bel-Air #510,9330809,1,9330809,1,OCR misread of this unit's own serial
M158116,1,Sam's Club #6612,M158115,1,M158115,1,OCR misread of this unit's own serial
