tier,store,serial,proof_serial_on_cooler,proof_technician_note,proof_paper_form,action
A - DEFINITIVE,Walmart US #1624,11351592,"YES - plate photographed at this store, unique image","YES - ""1 of 2 at this location . Shown on list as 1 asset ..needs to be 2 assets AlERT!!!!""",-,Report to Freshpet for addition
A - DEFINITIVE,Walmart US #1972,10213740,"YES - plate photographed at this store, unique image","YES - ""New asset found at this location . 2 assets total !!!!""",paper form signed by store contact Andrea Lopez,Report to Freshpet for addition
A - DEFINITIVE,Walmart US #2001,10629523,"YES - plate photographed at this store, unique image","YES - ""This location has 2 units . SHOWING 1 ON PROGRAM!!!""",paper field note,Report to Freshpet for addition
A - DEFINITIVE,Walmart US #2985,10571808,"YES - plate photographed at this store, unique image","YES - ""This location has 2 units not 1 / ALERT EXTRA UNIT HERE !!!!!""",-,Report to Freshpet for addition
A - DEFINITIVE,Walmart US #5632,11200214,"YES - plate photographed at this store, unique image","YES - ""This location has 2 assets . Says 1 ON PROGRAM ALERT !!!!!""",paper form with MANAGER SIGN line,Report to Freshpet for addition
B - ALREADY ON OUR BOOKS,Walmart US #3046,11200211,YES,"YES - ""This location has 2 units not 1 !!!!ALERT""",already added in the field; plate + 2 unit photos on file,No action - already added
B - ALREADY ON OUR BOOKS,PetSmart US #1975,(3rd unit),n/a,"YES - ""There is 3 units here . Not 2 !!!!""",asset list now carries 3 units - appears resolved,No action - already added
C - PLATE PHOTO ONLY,Cost Less Foods #13952,10878244,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Food Maxx #499,10546327,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Lunardis #9,8220161006162,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Pet Club #M70,7329088,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,PetSmart US #59,283403,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Petco #1311,219069,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Petco #1327,313314,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Petco #271,244374,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Safeway Northern California #1211,276973,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Walmart US #3138,10540885,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Walmart US #5192,10162233,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
C - PLATE PHOTO ONLY,Walmart US #5435,10555907,"YES - plate photographed at this store, unique image (not a reused photo)",none,-,Confirm serial on the next visit before reporting
"D - NOTE ONLY, NO PHOTO",Petco #269,(unknown),NO - no plate photograph of the extra unit,"YES - ""1 of 2 this location has 2 UNITS NOT 1 AS SHOWN ON ORDER!!!!""",-,Re-visit and photograph the plate
"D - NOTE ONLY, NO PHOTO",Walmart US #4174,(unknown),NO - no plate photograph of the extra unit,"YES - ""This has an extra fridge on site not on list  please advise!!!!!""",-,Re-visit and photograph the plate
"D - NOTE ONLY, NO PHOTO",Save Mart #95,(unknown),NO - no plate photograph of the extra unit,"YES - ""Extra unit here not shown on program . !!!!!""",-,Re-visit and photograph the plate
"E - PLATE SEEN, STORE UNKNOWN",(unknown),M153303,"YES - plate photographed, but the image was copied across several reports so the store cannot be established",none,-,Watch for this serial on re-visits
"E - PLATE SEEN, STORE UNKNOWN",(unknown),M158123,"YES - plate photographed, but the image was copied across several reports so the store cannot be established",none,-,Watch for this serial on re-visits
