serial,store,n_reports,report_ids,dates,extra_reports
10131443,Raley's #333,2,132|133,2026-06-16|2026-06-16,1
10512609-1,Food Maxx #488,2,190|191,2026-06-25|2026-06-25,1
11037167,Lucky #700,4,4|5|19|32,2026-06-12|2026-06-12|2026-06-12|2026-06-13,3
111012641-1,Lucky's #212,2,128|129,2026-06-16|2026-06-16,1
223088,Pet Supplies Plus #4045,2,263|264,2026-06-26|2026-06-26,1
281234,Petsmart US #2237,2,207|208,2026-06-25|2026-06-25,1
300025,Walmart US #2735,2,201|203,2026-06-25|2026-06-25,1
304912,Safeway #951,2,10|15,2026-06-12|2026-06-12,1
304933,Safeway Northern California #1953,2,173|177,2026-06-17|2026-06-17,1
304977,Safeway #691,2,25|26,2026-06-13|2026-06-13,1
304999,Safeway Northern California #1257,2,178|179,2026-06-17|2026-06-17,1
311459,Safeway Northern California #2941,2,103|104,2026-06-15|2026-06-15,1
312674,Petco #1335,2,109|110,2026-06-15|2026-06-15,1
4815328,PetSmart US #59,2,170|171,2026-06-17|2026-06-17,1
7814967,Petco #267,2,82|83,2026-06-14|2026-06-14,1
9459537,Petco #348,2,161|163,2026-06-17|2026-06-17,1
9632944,Target #1819,2,143|144,2026-06-16|2026-06-16,1
