batch,pm_id,store,serial,pm_date,tech,n_photos,reason,plate_reads
June (invoice #170015),2,Safeway #3281,304995,2026-06-11,Mike schneider,3,"photos present, no legible plate",-
June (invoice #170015),3,Lucky #700,11037160,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),5,Lucky #700,11037167,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),6,Petco #372,240761,2026-06-12,Michael S.,4,photos show a different unit,10609651
June (invoice #170015),7,Nob Hill #632,10131448,2026-06-12,Michael S.,4,photos show a different unit,11037160
June (invoice #170015),8,Target #2829,10609651,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),9,Petco #372,4770049,2026-06-12,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),10,Safeway #951,304912,2026-06-12,Michael S.,3,plate photo present but serial not on asset list,304978
June (invoice #170015),11,Petco #372,240766,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),12,Petco #372,307516,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),13,Safeway Northern California #2708,304978,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),15,Safeway #951,304912,2026-06-12,Michael S.,4,photos show a different unit,11037160
June (invoice #170015),16,Safeway #951,304917,2026-06-12,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),17,Pak N Save #3125,304875,2026-06-12,Michael S.,4,photos show a different unit,11037160
June (invoice #170015),18,Pet Club #M88,7033500,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),20,Target #2767,9632938,2026-06-12,Michael S.,0,no photos at all,-
June (invoice #170015),22,Berkeley Bowl #2,341308140408,2026-06-12,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),26,Safeway #691,304977,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),27,Safeway #676,304467,2026-06-13,Michael S.,4,"photos present, no legible plate",-
June (invoice #170015),29,Target #1926,9380260,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),31,Food Maxx #466,11038563,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),38,Safeway #929,305436,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),40,Costco #1004,10715340,2026-06-13,Michael S.,3,"photos present, no legible plate",-
