pm_id,store,city,serial,pm_date,issue
412,Save Mart #622,Sacramento,10911486,2026-07-15,no photos
416,Petco #1343,Sacramento,20125900000422,2026-07-15,reused photo
423,Safeway #2263,Sacramento,310797,2026-07-15,reused photo
424,Food Maxx #453,Bakersfield,11008872,2026-07-20,reused photo
425,Vons #1969,Bakersfield,294053,2026-07-20,reused photo
429,Albertsons #377,Bakersfield,10663625,2026-07-20,no photos
430,Albertsons #377,Bakersfield,10671487,2026-07-20,reused photo
434,Target #2524,Bakersfield,9632927,2026-07-20,reused photo
441,Albertsons #3129,Bakersfield,10671490,2026-07-21,reused photo
445,Walmart US #5134,Bakersfield,279848,2026-07-21,no photos
446,Sam's Club #4819,Bakersfield,M155783,2026-07-21,reused photo
447,Albertsons California #3364,Bakersfield,10609622,2026-07-21,reused photo
451,Target #2715,Bakersfield,10633827,2026-07-21,reused photo
452,Walmart US #3139,Bakersfield,303346,2026-07-21,reused photo
453,Target #1384,Bakersfield,9139322,2026-07-21,reused photo
465,Petsmart US #3052,Bakersfield,M032630,2026-07-21,reused photo
469,Walmart US #3140,Bakersfield,302442,2026-07-21,reused photo
479,Walmart US #3141,Bakersfield,290980,2026-07-21,reused photo
484,Kelley's Pets #3465,Fresno,10961123,2026-07-22,reused photo
485,Kelley's Pets #3465,Fresno,10961123,2026-07-22,reused photo
493,Petco #269,Fresno,FPA,2026-07-22,no photos
502,Target #1417,Fresno,10540856,2026-07-22,reused photo
503,Target #1417,Fresno,10902793,2026-07-22,reused photo
515,Walmart US #1815,Fresno,9697100,2026-07-23,reused photo
521,Petco #1338,Fresno,5232171,2026-07-23,reused photo
522,Petco #1338,Fresno,341506031614,2026-07-23,reused photo
523,Petco #1338,Fresno,312894,2026-07-23,reused photo
533,Save Mart #71,Fresno,10372249,2026-07-23,reused photo
536,Save Mart #78,Fresno,10874913,2026-07-23,reused photo
543,Safeway Northern California #1661,Modesto,295403,2026-07-24,reused photo
545,Carters Pet Mart #56789,Modesto,9637980,2026-07-24,reused photo
551,PetSmart US #81,Modesto,246419,2026-07-24,reused photo
553,Save Mart #1,Modesto,10567901,2026-07-24,reused photo
556,Save Mart #1,Modesto,10637908,2026-07-24,reused photo
559,Petco #307,Modesto,313166,2026-07-29,reused photo
569,Walmart US #5710,Modesto,10168520,2026-07-29,reused photo
571,PetSmart US #1975,Modesto,278048,2026-07-29,reused photo
572,Save Mart #95,Modesto,10874883,2026-07-29,reused photo
573,Target #938,Modesto,10571802,2026-07-29,reused photo
574,Raley's #339,Modesto,10114978,2026-07-29,reused photo
575,Raley's #339,Modesto,10114974,2026-07-29,reused photo
579,Walmart US #3046,Modesto,11200211,2026-07-30,reused photo
589,Lucky #750,Dublin,80090400000116,2026-07-30,reused photo
593,Walmart US #2161,Pleasanton,302431,2026-07-30,reused photo
595,Lucky #744,Pleasanton,10105120,2026-07-30,reused photo
600,Safeway Northern California #2856,Pleasanton,294043,2026-07-30,reused photo
601,Safeway Northern California #1211,Danville,276954,2026-07-30,reused photo
