pm_id,pm_date,signed_pacific,store,city,report_serial,n_photos,photo_status,store_contact_recorded,reopened_after_submit,note
410,2026-07-15,2026-07-15 12:23 PT,Bel-Air #501,Sacramento,10148895,2,PHOTOS UNIQUE,yes,no,
411,2026-07-15,2026-07-15 12:41 PT,Save Mart #622,Sacramento,10874906,1,PHOTOS UNIQUE,no,no,
412,2026-07-15,2026-07-15 12:42 PT,Save Mart #622,Sacramento,10911486,0,NO PHOTOS,no,no,
413,2026-07-15,2026-07-15 12:46 PT,Petco #1343,Sacramento,313084,2,PHOTOS UNIQUE,yes,no,
414,2026-07-15,2026-07-15 12:48 PT,Petco #1343,Sacramento,226512,2,PHOTOS UNIQUE,yes,no,
415,2026-07-15,2026-07-15 12:51 PT,Petco #1343,Sacramento,226507,2,PHOTOS UNIQUE,yes,no,
416,2026-07-15,2026-07-15 13:01 PT,Petco #1343,Sacramento,20125900000422,2,ALL PHOTOS REUSED,no,no,
417,2026-07-15,2026-07-15 13:14 PT,Incredible Pets #24012404,Sacramento,6674060,1,CLOSED-STORE VISIT,no,no,store not present — address is now a hardware store (photo)
418,2026-07-15,2026-07-15 13:27 PT,Comptons Market #14696,Sacramento,411412301019,1,CLOSED-STORE VISIT,no,no,no unit found (photo: storefront from vehicle)
419,2026-07-15,2026-07-15 14:28 PT,Walmart US #5982,Sacramento,M125962,2,PHOTOS UNIQUE,yes,no,
420,2026-07-15,2026-07-15 14:46 PT,Raley's #416,Sacramento,9318060,2,PHOTOS UNIQUE,yes,no,
421,2026-07-15,2026-07-15 15:06 PT,Target #311,Sacramento,10633828,3,PHOTOS UNIQUE,yes,no,
422,2026-07-15,2026-07-15 15:37 PT,Walmart US #5192,Sacramento,9627102,2,PHOTOS UNIQUE,yes,no,
423,2026-07-15,2026-07-15 15:50 PT,Safeway #2263,Sacramento,310797,2,ALL PHOTOS REUSED,yes,no,
424,2026-07-20,2026-07-20 13:32 PT,Food Maxx #453,Bakersfield,11008872,1,ALL PHOTOS REUSED,yes,no,
425,2026-07-20,2026-07-20 13:32 PT,Vons #1969,Bakersfield,294053,1,ALL PHOTOS REUSED,yes,no,
426,2026-07-20,2026-07-20 13:44 PT,Lassens #04,Bakersfield,9404671,2,PHOTOS UNIQUE,yes,no,
427,2026-07-20,2026-07-20 14:02 PT,Costco #688,Bakersfield,10271100,2,PHOTOS UNIQUE,yes,no,
428,2026-07-20,2026-07-20 14:44 PT,Albertsons #3172,Bakersfield,10671477,2,PHOTOS UNIQUE,yes,no,
